"NAME","CODE","CoverageDTP1","CoverageDTP3","VaccinePregnant","VaccineAdult","VaccineRisk","TimeLastShot","TimeFirstShot","GENERALM","GENERALY","VaccineGeneral","VaccineCode","OutbreakSize2022","OutbreakSize2023","OutbreakSize"
"Saint Vincent and the Grenadines","VCT",97,92,0,0,0,77.94,8.66,4,0,4,"wP","Unavailable","Unavailable",NA
"Samoa","WSM",97,76,0,0,0,64.95,6,4,0,4,"wP","Unavailable","Unavailable",NA
"San Marino","SMR",93,92,0,1,0,780,12.99,3,2,5,"aP","Unavailable","Low",0
"Sao Tome and Principe","STP",97,97,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Saudi Arabia","SAU",98,98,1,0,0,260,8.66,4,1,5,"aP","Normal","Normal",1
"Senegal","SEN",90,88,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Serbia","SRB",97,92,0,0,0,364,8,4,1,5,"aP","Low","Resurgence",3
"Seychelles","SYC",99,97,0,0,0,77.94,12.99,4,0,4,"wP","Unavailable","Unavailable",NA
"Sierra Leone","SLE",92,91,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Singapore","SGP",99,97,1,0,0,572,12.99,4,1,5,"aP","Unavailable","Unavailable",NA
"Sint Maarten (Dutch part)","SXM",NA,NA,0,0,0,51.96,8.66,4,0,4,"aP","Unavailable","Unavailable",NA
"Slovakia","SVK",97,97,0,0,0,624,8.66,3,2,5,"aP","Low","Low",0
"Slovenia","SVN",92,89,1,0,0,416,12.99,3,1,4,"aP","Low","Low",0
"Solomon Islands","SLB",99,89,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Somalia","SOM",52,42,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"South Africa","ZAF",87,85,0,0,0,77.94,6,4,0,4,"aP","Resurgence","Normal",3
"South Sudan","SSD",76,73,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Spain","ESP",98,93,1,0,1,312,8.66,3,1,4,"aP","Low","Low",0
"Sri Lanka","LKA",98,98,0,0,0,77.94,8.66,4,0,4,"wP","Unavailable","Low",0
"Sudan","SDN",94,84,0,0,0,14,6,3,0,3,"wP","Unavailable","Normal",1
"Suriname","SUR",83,77,1,0,1,234,8.66,4,1,5,"wP","Resurgence","Unavailable",3
"Sweden","SWE",96,94,1,0,0,780,12.99,3,2,5,"aP","Low","Low",0
"Switzerland","CHE",97,96,0,0,0,676,8.66,3,2,5,"aP","Unavailable","Unavailable",NA
"Syrian Arab Republic","SYR",64,46,0,0,0,77.94,8,4,0,4,"wP","Resurgence","High",3
"Tajikistan","TJK",98,97,0,0,0,99.59,99.59,1,0,1,"wP","High","Resurgence",3
"Thailand","THA",99,97,0,0,0,208,8.66,3,2,5,"wP","Low","Unavailable",0
"Timor-Leste","TLS",87,86,0,0,0,77.94,6,4,0,4,"wP","Unavailable","Unavailable",NA
"Togo","TGO",88,82,0,0,0,14,6,3,0,3,"wP","Unavailable","Resurgence",3
"Tokelau","TKL",NA,NA,0,0,0,260,6,3,1,4,"wP","Unavailable","Unavailable",NA
"Tonga","TON",99,99,0,0,0,260,6,4,1,5,"wP","Unavailable","Unavailable",NA
"Trinidad and Tobago","TTO",97,93,0,0,0,234,8.66,4,1,5,"wP","Unavailable","Unavailable",NA
"Tunisia","TUN",99,97,0,0,0,77.94,8.66,4,0,4,"wP","Low","Unavailable",0
"Türkiye","TUR",99,99,0,0,0,207.84,8.66,5,0,5,"aP","Low","Unavailable",0
"Turkmenistan","TKM",99,98,0,0,0,77.94,8.66,4,0,4,"wP","Unavailable","Unavailable",NA
"Turks and Caicos Islands","TCA",NA,NA,0,0,0,156,8.66,4,1,5,"wP","Unavailable","Unavailable",NA
"Tuvalu","TUV",99,91,0,0,0,286,6,3,1,4,"wP","Unavailable","Unavailable",NA
"Uganda","UGA",94,89,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
