HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Pertussis,All cases,Reported cases,N,2013,RO,Romania,57,
Pertussis,All cases,Reported cases,N,2013,SE,Sweden,237,
Pertussis,All cases,Reported cases,N,2013,SI,Slovenia,169,
Pertussis,All cases,Reported cases,N,2013,SK,Slovakia,907,
Pertussis,All cases,Reported cases,N,2013,UK,United Kingdom,6077,
Pertussis,All cases,Reported cases,N,2014,AT,Austria,370,
Pertussis,All cases,Reported cases,N,2014,BE,Belgium,1395,
Pertussis,All cases,Reported cases,N,2014,BG,Bulgaria,52,
Pertussis,All cases,Reported cases,N,2014,CY,Cyprus,7,
Pertussis,All cases,Reported cases,N,2014,CZ,Czechia,2521,
Pertussis,All cases,Reported cases,N,2014,DE,Germany,12019,
Pertussis,All cases,Reported cases,N,2014,DK,Denmark,854,
Pertussis,All cases,Reported cases,N,2014,EE,Estonia,43,
Pertussis,All cases,Reported cases,N,2014,GR,Greece,15,
Pertussis,All cases,Reported cases,N,2014,ES,Spain,2607,
Pertussis,All cases,Reported cases,N,2014,EUEEA30_21,EU/EEA (without UK),36883,
Pertussis,All cases,Reported cases,N,2014,EUEEAUK_21,EU/EEA (with UK until 2019),40926,
Pertussis,All cases,Reported cases,N,2014,FI,Finland,206,
Pertussis,All cases,Reported cases,N,2014,FR,France,83,
Pertussis,All cases,Reported cases,N,2014,HR,Croatia,131,
Pertussis,All cases,Reported cases,N,2014,HU,Hungary,20,
Pertussis,All cases,Reported cases,N,2014,IE,Ireland,73,
Pertussis,All cases,Reported cases,N,2014,IT,Italy,670,
Pertussis,All cases,Reported cases,N,2014,LT,Lithuania,143,
Pertussis,All cases,Reported cases,N,2014,LU,Luxembourg,6,
Pertussis,All cases,Reported cases,N,2014,LV,Latvia,82,
Pertussis,All cases,Reported cases,N,2014,MT,Malta,1,
Pertussis,All cases,Reported cases,N,2014,NL,Netherlands,8067,
Pertussis,All cases,Reported cases,N,2014,NO,Norway,3032,
Pertussis,All cases,Reported cases,N,2014,PL,Poland,2100,
Pertussis,All cases,Reported cases,N,2014,PT,Portugal,74,
Pertussis,All cases,Reported cases,N,2014,RO,Romania,87,
Pertussis,All cases,Reported cases,N,2014,SE,Sweden,703,
Pertussis,All cases,Reported cases,N,2014,SI,Slovenia,399,
Pertussis,All cases,Reported cases,N,2014,SK,Slovakia,1123,
Pertussis,All cases,Reported cases,N,2014,UK,United Kingdom,4043,
Pertussis,All cases,Reported cases,N,2015,AT,Austria,579,
Pertussis,All cases,Reported cases,N,2015,BE,Belgium,1118,
Pertussis,All cases,Reported cases,N,2015,BG,Bulgaria,35,
Pertussis,All cases,Reported cases,N,2015,CY,Cyprus,3,
Pertussis,All cases,Reported cases,N,2015,CZ,Czechia,585,
Pertussis,All cases,Reported cases,N,2015,DE,Germany,8938,
Pertussis,All cases,Reported cases,N,2015,DK,Denmark,945,
Pertussis,All cases,Reported cases,N,2015,EE,Estonia,77,
Pertussis,All cases,Reported cases,N,2015,GR,Greece,17,
Pertussis,All cases,Reported cases,N,2015,ES,Spain,6863,
Pertussis,All cases,Reported cases,N,2015,EUEEA30_21,EU/EEA (without UK),34668,
Pertussis,All cases,Reported cases,N,2015,EUEEAUK_21,EU/EEA (with UK until 2019),40150,
Pertussis,All cases,Reported cases,N,2015,FI,Finland,165,
Pertussis,All cases,Reported cases,N,2015,FR,France,17,
Pertussis,All cases,Reported cases,N,2015,HR,Croatia,49,
Pertussis,All cases,Reported cases,N,2015,HU,Hungary,5,
Pertussis,All cases,Reported cases,N,2015,IE,Ireland,118,
Pertussis,All cases,Reported cases,N,2015,IS,Iceland,4,
Pertussis,All cases,Reported cases,N,2015,IT,Italy,503,
Pertussis,All cases,Reported cases,N,2015,LT,Lithuania,60,
Pertussis,All cases,Reported cases,N,2015,LU,Luxembourg,0,
Pertussis,All cases,Reported cases,N,2015,LV,Latvia,210,
Pertussis,All cases,Reported cases,N,2015,MT,Malta,0,
Pertussis,All cases,Reported cases,N,2015,NL,Netherlands,6178,
Pertussis,All cases,Reported cases,N,2015,NO,Norway,1902,
Pertussis,All cases,Reported cases,N,2015,PL,Poland,4956,
Pertussis,All cases,Reported cases,N,2015,PT,Portugal,238,
Pertussis,All cases,Reported cases,N,2015,RO,Romania,98,
Pertussis,All cases,Reported cases,N,2015,SE,Sweden,603,
Pertussis,All cases,Reported cases,N,2015,SI,Slovenia,68,
Pertussis,All cases,Reported cases,N,2015,SK,Slovakia,334,
Pertussis,All cases,Reported cases,N,2015,UK,United Kingdom,5482,
Pertussis,All cases,Reported cases,N,2016,AT,Austria,1291,
Pertussis,All cases,Reported cases,N,2016,BE,Belgium,1325,
Pertussis,All cases,Reported cases,N,2016,BG,Bulgaria,98,
Pertussis,All cases,Reported cases,N,2016,CY,Cyprus,2,
Pertussis,All cases,Reported cases,N,2016,CZ,Czechia,627,
Pertussis,All cases,Reported cases,N,2016,DE,Germany,13437,
Pertussis,All cases,Reported cases,N,2016,DK,Denmark,2096,
Pertussis,All cases,Reported cases,N,2016,EE,Estonia,74,
Pertussis,All cases,Reported cases,N,2016,GR,Greece,87,
Pertussis,All cases,Reported cases,N,2016,ES,Spain,4095,
Pertussis,All cases,Reported cases,N,2016,EUEEA30_21,EU/EEA (without UK),41026,
Pertussis,All cases,Reported cases,N,2016,EUEEAUK_21,EU/EEA (with UK until 2019),48386,
Pertussis,All cases,Reported cases,N,2016,FI,Finland,432,
Pertussis,All cases,Reported cases,N,2016,FR,France,0,
Pertussis,All cases,Reported cases,N,2016,HR,Croatia,122,
Pertussis,All cases,Reported cases,N,2016,HU,Hungary,5,
Pertussis,All cases,Reported cases,N,2016,IE,Ireland,213,
Pertussis,All cases,Reported cases,N,2016,IS,Iceland,15,
Pertussis,All cases,Reported cases,N,2016,IT,Italy,965,
Pertussis,All cases,Reported cases,N,2016,LT,Lithuania,36,
Pertussis,All cases,Reported cases,N,2016,LU,Luxembourg,7,
Pertussis,All cases,Reported cases,N,2016,LV,Latvia,256,
Pertussis,All cases,Reported cases,N,2016,MT,Malta,0,
Pertussis,All cases,Reported cases,N,2016,NL,Netherlands,5080,
Pertussis,All cases,Reported cases,N,2016,NO,Norway,2205,
Pertussis,All cases,Reported cases,N,2016,PL,Poland,6828,
Pertussis,All cases,Reported cases,N,2016,PT,Portugal,563,
Pertussis,All cases,Reported cases,N,2016,RO,Romania,72,
Pertussis,All cases,Reported cases,N,2016,SE,Sweden,679,
Pertussis,All cases,Reported cases,N,2016,SI,Slovenia,127,
Pertussis,All cases,Reported cases,N,2016,SK,Slovakia,289,
Pertussis,All cases,Reported cases,N,2016,UK,United Kingdom,7360,
Pertussis,All cases,Reported cases,N,2017,AT,Austria,1411,
Pertussis,All cases,Reported cases,N,2017,BE,Belgium,1038,
Pertussis,All cases,Reported cases,N,2017,BG,Bulgaria,116,
Pertussis,All cases,Reported cases,N,2017,CY,Cyprus,17,
Pertussis,All cases,Reported cases,N,2017,CZ,Czechia,667,
Pertussis,All cases,Reported cases,N,2017,DE,Germany,16193,
Pertussis,All cases,Reported cases,N,2017,DK,Denmark,1068,
Pertussis,All cases,Reported cases,N,2017,EE,Estonia,56,
Pertussis,All cases,Reported cases,N,2017,GR,Greece,40,
Pertussis,All cases,Reported cases,N,2017,ES,Spain,4069,
Pertussis,All cases,Reported cases,N,2017,EUEEA30_21,EU/EEA (without UK),38067,
Pertussis,All cases,Reported cases,N,2017,EUEEAUK_21,EU/EEA (with UK until 2019),42580,
Pertussis,All cases,Reported cases,N,2017,FI,Finland,401,
Pertussis,All cases,Reported cases,N,2017,FR,France,100,
Pertussis,All cases,Reported cases,N,2017,HR,Croatia,78,
Pertussis,All cases,Reported cases,N,2017,HU,Hungary,15,
Pertussis,All cases,Reported cases,N,2017,IE,Ireland,263,
Pertussis,All cases,Reported cases,N,2017,IS,Iceland,20,
Pertussis,All cases,Reported cases,N,2017,IT,Italy,964,
Pertussis,All cases,Reported cases,N,2017,LT,Lithuania,21,
Pertussis,All cases,Reported cases,N,2017,LU,Luxembourg,18,
Pertussis,All cases,Reported cases,N,2017,LV,Latvia,94,
Pertussis,All cases,Reported cases,N,2017,MT,Malta,8,
Pertussis,All cases,Reported cases,N,2017,NL,Netherlands,4505,
Pertussis,All cases,Reported cases,N,2017,NO,Norway,2424,
Pertussis,All cases,Reported cases,N,2017,PL,Poland,3061,
Pertussis,All cases,Reported cases,N,2017,PT,Portugal,115,
Pertussis,All cases,Reported cases,N,2017,RO,Romania,95,
Pertussis,All cases,Reported cases,N,2017,SE,Sweden,805,
Pertussis,All cases,Reported cases,N,2017,SI,Slovenia,214,
Pertussis,All cases,Reported cases,N,2017,SK,Slovakia,191,
Pertussis,All cases,Reported cases,N,2017,UK,United Kingdom,4513,
Pertussis,All cases,Reported cases,N,2018,AT,Austria,2202,
Pertussis,All cases,Reported cases,N,2018,BE,Belgium,853,
Pertussis,All cases,Reported cases,N,2018,BG,Bulgaria,114,
Pertussis,All cases,Reported cases,N,2018,CY,Cyprus,0,
Pertussis,All cases,Reported cases,N,2018,CZ,Czechia,752,
Pertussis,All cases,Reported cases,N,2018,DE,Germany,12494,
Pertussis,All cases,Reported cases,N,2018,DK,Denmark,1023,
Pertussis,All cases,Reported cases,N,2018,EE,Estonia,69,
Pertussis,All cases,Reported cases,N,2018,GR,Greece,18,
Pertussis,All cases,Reported cases,N,2018,ES,Spain,2681,
Pertussis,All cases,Reported cases,N,2018,EUEEA30_21,EU/EEA (without UK),32088,
Pertussis,All cases,Reported cases,N,2018,EUEEAUK_21,EU/EEA (with UK until 2019),35645,
Pertussis,All cases,Reported cases,N,2018,FI,Finland,477,
Pertussis,All cases,Reported cases,N,2018,FR,France,140,
Pertussis,All cases,Reported cases,N,2018,HR,Croatia,129,
Pertussis,All cases,Reported cases,N,2018,HU,Hungary,23,
Pertussis,All cases,Reported cases,N,2018,IE,Ireland,118,
Pertussis,All cases,Reported cases,N,2018,IS,Iceland,15,
Pertussis,All cases,Reported cases,N,2018,IT,Italy,962,
Pertussis,All cases,Reported cases,N,2018,LT,Lithuania,27,
Pertussis,All cases,Reported cases,N,2018,LU,Luxembourg,9,
Pertussis,All cases,Reported cases,N,2018,LV,Latvia,159,
Pertussis,All cases,Reported cases,N,2018,MT,Malta,6,
Pertussis,All cases,Reported cases,N,2018,NL,Netherlands,4312,
Pertussis,All cases,Reported cases,N,2018,NO,Norway,2476,
Pertussis,All cases,Reported cases,N,2018,PL,Poland,1548,
Pertussis,All cases,Reported cases,N,2018,PT,Portugal,60,
Pertussis,All cases,Reported cases,N,2018,RO,Romania,93,
Pertussis,All cases,Reported cases,N,2018,SE,Sweden,739,
Pertussis,All cases,Reported cases,N,2018,SI,Slovenia,213,
Pertussis,All cases,Reported cases,N,2018,SK,Slovakia,376,
Pertussis,All cases,Reported cases,N,2018,UK,United Kingdom,3557,
Pertussis,All cases,Reported cases,N,2019,AT,Austria,2233,
Pertussis,All cases,Reported cases,N,2019,BE,Belgium,690,
Pertussis,All cases,Reported cases,N,2019,BG,Bulgaria,72,
Pertussis,All cases,Reported cases,N,2019,CY,Cyprus,2,
Pertussis,All cases,Reported cases,N,2019,CZ,Czechia,1347,
Pertussis,All cases,Reported cases,N,2019,DE,Germany,9485,
Pertussis,All cases,Reported cases,N,2019,DK,Denmark,3691,
Pertussis,All cases,Reported cases,N,2019,EE,Estonia,135,
Pertussis,All cases,Reported cases,N,2019,GR,Greece,20,
Pertussis,All cases,Reported cases,N,2019,ES,Spain,2585,
Pertussis,All cases,Reported cases,N,2019,EUEEA30_21,EU/EEA (without UK),34468,
Pertussis,All cases,Reported cases,N,2019,EUEEAUK_21,EU/EEA (with UK until 2019),38957,
Pertussis,All cases,Reported cases,N,2019,FI,Finland,557,
Pertussis,All cases,Reported cases,N,2019,FR,France,36,
Pertussis,All cases,Reported cases,N,2019,HR,Croatia,57,
Pertussis,All cases,Reported cases,N,2019,HU,Hungary,7,
Pertussis,All cases,Reported cases,N,2019,IE,Ireland,164,
Pertussis,All cases,Reported cases,N,2019,IS,Iceland,6,
Pertussis,All cases,Reported cases,N,2019,IT,Italy,755,
Pertussis,All cases,Reported cases,N,2019,LT,Lithuania,26,
Pertussis,All cases,Reported cases,N,2019,LU,Luxembourg,10,
Pertussis,All cases,Reported cases,N,2019,LV,Latvia,719,
Pertussis,All cases,Reported cases,N,2019,MT,Malta,15,
Pertussis,All cases,Reported cases,N,2019,NL,Netherlands,5885,
Pertussis,All cases,Reported cases,N,2019,NO,Norway,2536,
Pertussis,All cases,Reported cases,N,2019,PL,Poland,1629,
Pertussis,All cases,Reported cases,N,2019,PT,Portugal,83,
Pertussis,All cases,Reported cases,N,2019,RO,Romania,110,
Pertussis,All cases,Reported cases,N,2019,SE,Sweden,782,
Pertussis,All cases,Reported cases,N,2019,SI,Slovenia,129,
Pertussis,All cases,Reported cases,N,2019,SK,Slovakia,702,
Pertussis,All cases,Reported cases,N,2019,UK,United Kingdom,4489,
Pertussis,All cases,Reported cases,N,2020,AT,Austria,632,
Pertussis,All cases,Reported cases,N,2020,BE,Belgium,124,
Pertussis,All cases,Reported cases,N,2020,BG,Bulgaria,27,
Pertussis,All cases,Reported cases,N,2020,CY,Cyprus,8,
Pertussis,All cases,Reported cases,N,2020,CZ,Czechia,696,
Pertussis,All cases,Reported cases,N,2020,DE,Germany,3212,
Pertussis,All cases,Reported cases,N,2020,DK,Denmark,2390,
Pertussis,All cases,Reported cases,N,2020,EE,Estonia,44,
Pertussis,All cases,Reported cases,N,2020,GR,Greece,8,
Pertussis,All cases,Reported cases,N,2020,ES,Spain,206,
Pertussis,All cases,Reported cases,N,2020,EUEEA30_21,EU/EEA (without UK),12121,
Pertussis,All cases,Reported cases,N,2020,EUEEAUK_21,EU/EEA (with UK until 2019),12121,
Pertussis,All cases,Reported cases,N,2020,FI,Finland,290,
Pertussis,All cases,Reported cases,N,2020,FR,France,34,
Pertussis,All cases,Reported cases,N,2020,HR,Croatia,10,
Pertussis,All cases,Reported cases,N,2020,HU,Hungary,13,
Pertussis,All cases,Reported cases,N,2020,IE,Ireland,66,
Pertussis,All cases,Reported cases,N,2020,IS,Iceland,0,
Pertussis,All cases,Reported cases,N,2020,IT,Italy,189,
Pertussis,All cases,Reported cases,N,2020,LT,Lithuania,68,
Pertussis,All cases,Reported cases,N,2020,LU,Luxembourg,3,
Pertussis,All cases,Reported cases,N,2020,LV,Latvia,340,
Pertussis,All cases,Reported cases,N,2020,MT,Malta,10,
Pertussis,All cases,Reported cases,N,2020,NL,Netherlands,1124,
Pertussis,All cases,Reported cases,N,2020,NO,Norway,812,
Pertussis,All cases,Reported cases,N,2020,PL,Poland,753,
Pertussis,All cases,Reported cases,N,2020,PT,Portugal,33,
Pertussis,All cases,Reported cases,N,2020,RO,Romania,18,
Pertussis,All cases,Reported cases,N,2020,SE,Sweden,269,
Pertussis,All cases,Reported cases,N,2020,SI,Slovenia,42,
Pertussis,All cases,Reported cases,N,2020,SK,Slovakia,700,
Pertussis,All cases,Reported cases,N,2021,AT,Austria,129,
Pertussis,All cases,Reported cases,N,2021,BE,Belgium,16,
Pertussis,All cases,Reported cases,N,2021,BG,Bulgaria,3,
Pertussis,All cases,Reported cases,N,2021,CY,Cyprus,2,
Pertussis,All cases,Reported cases,N,2021,CZ,Czechia,51,
Pertussis,All cases,Reported cases,N,2021,DE,Germany,776,
Pertussis,All cases,Reported cases,N,2021,DK,Denmark,80,
Pertussis,All cases,Reported cases,N,2021,EE,Estonia,13,
Pertussis,All cases,Reported cases,N,2021,GR,Greece,0,
Pertussis,All cases,Reported cases,N,2021,ES,Spain,39,
Pertussis,All cases,Reported cases,N,2021,EUEEA30_21,EU/EEA (without UK),1578,
Pertussis,All cases,Reported cases,N,2021,EUEEAUK_21,EU/EEA (with UK until 2019),1578,
Pertussis,All cases,Reported cases,N,2021,FI,Finland,33,
Pertussis,All cases,Reported cases,N,2021,FR,France,0,
Pertussis,All cases,Reported cases,N,2021,HR,Croatia,7,
Pertussis,All cases,Reported cases,N,2021,HU,Hungary,0,
Pertussis,All cases,Reported cases,N,2021,IE,Ireland,5,
Pertussis,All cases,Reported cases,N,2021,IS,Iceland,0,
Pertussis,All cases,Reported cases,N,2021,IT,Italy,5,
Pertussis,All cases,Reported cases,N,2021,LT,Lithuania,0,
Pertussis,All cases,Reported cases,N,2021,LU,Luxembourg,3,
Pertussis,All cases,Reported cases,N,2021,LV,Latvia,9,
Pertussis,All cases,Reported cases,N,2021,MT,Malta,0,
Pertussis,All cases,Reported cases,N,2021,NL,Netherlands,74,
Pertussis,All cases,Reported cases,N,2021,NO,Norway,38,
Pertussis,All cases,Reported cases,N,2021,PL,Poland,182,
Pertussis,All cases,Reported cases,N,2021,PT,Portugal,3,
Pertussis,All cases,Reported cases,N,2021,RO,Romania,1,
Pertussis,All cases,Reported cases,N,2021,SE,Sweden,11,
Pertussis,All cases,Reported cases,N,2021,SI,Slovenia,6,
Pertussis,All cases,Reported cases,N,2021,SK,Slovakia,92,
Pertussis,All cases,Reported cases,N,2022,AT,Austria,164,
Pertussis,All cases,Reported cases,N,2022,BE,Belgium,80,
Pertussis,All cases,Reported cases,N,2022,BG,Bulgaria,21,
Pertussis,All cases,Reported cases,N,2022,CY,Cyprus,0,
Pertussis,All cases,Reported cases,N,2022,CZ,Czechia,96,
Pertussis,All cases,Reported cases,N,2022,DE,Germany,1191,
Pertussis,All cases,Reported cases,N,2022,DK,Denmark,54,
Pertussis,All cases,Reported cases,N,2022,EE,Estonia,8,
Pertussis,All cases,Reported cases,N,2022,GR,Greece,1,
Pertussis,All cases,Reported cases,N,2022,ES,Spain,72,
Pertussis,All cases,Reported cases,N,2022,EUEEA30_21,EU/EEA (without UK),2623,
Pertussis,All cases,Reported cases,N,2022,EUEEAUK_21,EU/EEA (with UK until 2019),2623,
Pertussis,All cases,Reported cases,N,2022,FI,Finland,35,
Pertussis,All cases,Reported cases,N,2022,FR,France,45,
Pertussis,All cases,Reported cases,N,2022,HR,Croatia,0,
Pertussis,All cases,Reported cases,N,2022,HU,Hungary,2,
Pertussis,All cases,Reported cases,N,2022,IE,Ireland,7,
Pertussis,All cases,Reported cases,N,2022,IS,Iceland,0,
Pertussis,All cases,Reported cases,N,2022,IT,Italy,62,
Pertussis,All cases,Reported cases,N,2022,LT,Lithuania,2,
Pertussis,All cases,Reported cases,N,2022,LU,Luxembourg,3,
Pertussis,All cases,Reported cases,N,2022,LV,Latvia,46,
Pertussis,All cases,Reported cases,N,2022,MT,Malta,0,
Pertussis,All cases,Reported cases,N,2022,NL,Netherlands,129,
Pertussis,All cases,Reported cases,N,2022,NO,Norway,44,
Pertussis,All cases,Reported cases,N,2022,PL,Poland,371,
Pertussis,All cases,Reported cases,N,2022,PT,Portugal,8,
Pertussis,All cases,Reported cases,N,2022,RO,Romania,9,
Pertussis,All cases,Reported cases,N,2022,SE,Sweden,13,
Pertussis,All cases,Reported cases,N,2022,SI,Slovenia,51,
Pertussis,All cases,Reported cases,N,2022,SK,Slovakia,109,
