,"Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases","Pertussis - number of reported cases"
"Nepal","4828","","0","0","4153","9092","4890","4416","6096","3431","1595","1733","2293","2357","2297","879","1092","2170","3708","4479","4683","5908","6021","","14339","12443","11683","12166","5","2","8","15","18","18","13","32","25","102","160","2004","1788","10","1055","1257","997","43","41","","49"
"Netherlands (Kingdom of the)","129","74","943","6079","4710","4505","3542","6566","8960","2858","13552","6726","2912","6202","8661","7325","4298","6535","9113","","5880","","4836","6279","2252","3947","2778","319","536","294","169","164","471","434","127","2709","2159","1522","534","200","80","50","30","26","1","25","4","",""
"New Zealand","18","43","171","1206","2952","2143","1096","1168","1099","3396","5598","1992","462","656","","331","1122","2720","3489","589","1068","4143","4143","1046","153","284","","10","35","48","80","221","91","","","","","","0","0","0","","0","","","0","0","",""
"Nicaragua","0","0","0","8","53","74","90","36","0","0","68","87","24","11","25","51","148","0","0","0","0","0","11","27","6","84","14","8","5","47","333","0","0","0","63","257","458","150","60","68","394","1935","2469","267","623","791","853","1414","2219"
"Niger","670","0","385","583","517","283","482","0","0","884","0","983","30","1354","1199","3204","1985","1206","2159","2109","2613","2709","5585","2446","2619","3190","","2967","","","","671","3102","4284","3622","4626","8213","5261","6276","7175","3920","5735","8320","7315","3836","4275","4482","8792","5711"
"Nigeria","","","","","7897","4244","","6592","9559","8530","11628","0","","11281","13240","12573","10997","15609","10976","","11894","34517","38910","","25057","","24766","","22275","23800","22164","18685","42929","33555","34920","51316","42193","92266","62751","70024","77830","56913","48996","58719","45440","42452","37949","34362","31177"
"Niue","0","","","0","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","3","9","0",""
"North Macedonia","0","0","2","","32","13","4","0","0","1","9","6","2","7","0","0","7","7","1","16","4","5","21","10","","32","20","27","53","38","46","84","","","","","","","","","","","","","","","","",""
"Norway","44","39","812","2539","2476","2424","2207","1902","3032","2608","4231","3695","3565","5546","3893","","6587","5536","7737","2765","3170","2574","3417","","","1835","87","71","107","17","124","140","208","225","297","653","789","1227","1375","2969","2110","2017","2003","2059","1812","1053","1074","2198","1541"
"occupied Palestinian territory, including east Jerusalem","25","277","18","22","57","125","","","","","","","45","","","","","","","","","","26","2","3","35","95","","","","","","","","","","","","","","","","","","","","","",""
"Oman","5","4","86","106","128","276","223","120","165","309","165","88","32","38","58","75","39","36","76","149","96","54","190","205","484","694","73","108","168","233","45","26","49","25","16","5","207","765","830","2605","2776","2236","1534","855","2049","4440","12141","13057",""
"Pakistan","168","53","29","263","0","99","0","0","0","250","60","156","109","164","169","267","313","133","97","167","233","109","160","222","103","238","201","180","411","473","276","140","24545","1324","62382","47676","53835","55659","38677","51680","50932","58280","42947","33433","10028","6362","7094","10028","7554"
"Palau","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Panama","","5","1","108","20","5","3","9","19","42","47","36","22","101","108","78","132","28","12","11","88","7","66","212","226","109","44","3","192","209","26","107","19","34","29","45","40","92","161","229","79","103","641","738","91","127","61","135","697"
"Papua New Guinea","8","10","51","462","0","0","0","0","0","3188","6472","4625","4949","2932","","","3051","2692","2050","2123","5002","2099","2280","4773","550","2871","1274","2814","2031","2369","2042","775","2084","2380","2452","1560","2487","1757","1337","2656","1422","2884","2693","1942","809","1102","1704","1243","829"
"Paraguay","4","5","15","26","53","44","31","32","101","81","44","11","1","1","7","8","6","13","40","48","36","65","24","29","36","40","40","13","49","272","372","118","115","291","886","251","111","363","795","361","412","459","652","1015","848","1094","460","557","6"
"Peru","4","35","47","414","483","611","143","119","236","1373","1173","56","64","254","59","47","84","127","201","68","54","24","68","2388","2490","989","355","872","3123","1013","369","470","1134","1714","1553","2344","2796","7226","7145","7164","8238","11973","12134","12720","6544","5589","9316","12794","12005"
"Philippines","4","20","35","114","339","88","29","5","0","23","0","","62","2","46","17","41","20","10","9","8","16","23","4","0","24","","22","26","19","5128","3377","4135","9466","7814","8856","16139","19628","21479","17380","15879","19178","19844","21254","15243","21403","27442","28231","22042"
"Poland","","180","746","","1552","3066","6853","","","2183","4682","","1266","2390","","1987","1525","1925","2954","2034","1788","2411","2269","876","2871","2092","330","549","697","314","590","302","292","107","174","295","122","304","326","185","452","281","232","508","633","1068","512","1156","2675"
"Portugal","8","3","33","84","60","115","563","230","73","103","224","32","14","68","69","22","22","78","38","4","2","","22","12","9","11","16","19","19","26","20","50","101","274","49","190","326","54","62","124","59","69","71","92","49","31","144","130","201"
"Qatar","1","0","0","","0","0","0","0","0","0","0","0","11","9","","11","15","7","","4","8","4","1","","0","3","2","0","1","2","2","3","18","25","50","140","134","129","201","547","20","193","219","46","27","12","61","49","88"
"Republic of Korea","31","21","126","499","951","110","146","205","76","36","230","97","18","42","7","14","17","10","6","5","10","9","28","","9","13","3","3","39","","","","174","168","565","808","188","479","1854","443","700","1622","1554","789","713","3162","1177","1182","3077"
"Republic of Moldova","6","5","60","174","217","355","283","50","188","115","92","102","31","47","30","36","43","24","105","31","5","210","169","38","182","327","78","123","871","831","526","442","266","","","","","","","","","","","","","","","",""
"Romania","9","1","18","110","93","95","72","93","87","57","82","86","29","10","51","35","33","57","231","94","90","209","493","82","97","263","927","510","732","1551","822","2463","817","696","1675","4762","1841","1810","5896","4346","6566","7350","11441","12734","5614","13471","15602","13646","14564"
"Russian Federation","3186","1108","6069","14407","10423","5411","8232","6452","4705","4510","7220","4733","4795","4056","3557","8116","8208","4644","11085","12523","5455","12073","29983","22222","28045","27202","13842","20626","48614","39439","24004","30876","24960","","","","","","","","","","","","","","","",""
"Rwanda","0","","0","0","6","0","0","0","","","0","0","0","","","","","0","0","0","0","23","0","561","","","0","","","","","110","177","94","268","1001","1802","1573","2053","5421","11857","16486","16189","16513","16615","26636","21856","20813","29436"
"Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0"
"Saint Lucia","0","0","0","0","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","8","471","19","1","4","0","0","1","3"
"Saint Vincent and the Grenadines","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","10","46","","409","512","24"
"Samoa","0","","0","","326","0","","","","","0","0","22","0","53","","0","0","0","2","","","","","0","0","0","0","0","0","3","0","0","9","0","0","0","0","0","0","66","99","113","40","140","91","139","66","12"
"San Marino","0","0","0","0","0","0","13","","","","0","0","0","0","","0","0","0","0","0","","","0","0","","0","","","","3","","0","","","","","","","","","5","3","7","23","18","6","18","21","107"
"Sao Tome and Principe","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","","","","","135","","","1","36","96","18","468","7","53","32","0","0","0","","36","","23"
"Saudi Arabia","17","43","95","326","160","40","7","11","1","0","6","13","0","1","30","68","34","21","64","120","42","35","","11","85","80","56","33","14","45","94","41","112","117","315","246","248","1395","1730","1202","1630","3897","9815","7827","8722","4795","9589","8382","10667"
"Senegal","0","0","0","0","9","0","","0","1","","","","","0","45","50","7","","21","","0","","0","30","","0","","","509","1518","541","375","1041","1523","258","","","","","16033","22590","18182","22792","18629","26334","23390","27420","25208","31867"
"Serbia","5","5","","","351","285","148","89","281","39","51","25","1","5","6","3","5","4","78","14","72","7","24","40","116","218","270","446","458","467","236","1070","1440","1473","1712","4610","2978","3744","4666","5550","5321","4593","6710","6369","6187","5829","6706","6068","6142"
"Seychelles","0","0","0","7","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","","2","0","0","0","0","0","1","2","39","0","0","","","","","",""
"Sierra Leone","","0","","","","","","","","","","23","","","","0","","","","0","","","0","","","0","","","","","","","","","10","228","123","1637","1573","1732","1425","2089","1619","1425","","","","",""
"Singapore","","","","","114","79","","","","17","24","29","8","13","33","38","2","2","0","1","0","1","2","1","1","0","","1","2","1","14","5","8","1","11","9","9","0","1","7","7","5","5","15","8","3","1","9","2"
"Slovakia","127","87","706","702","376","191","289","334","1123","907","950","936","1379","288","105","21","21","17","21","47","36","3","43","108","8","55","74","10","56","353","44","54","194","","","","","","","","","","","","","","","",""
"Slovenia","51","6","42","129","213","213","127","68","399","169","178","284","610","442","181","706","551","75","113","180","29","77","","23","25","81","65","35","97","65","29","53","","","","","","","","","","","","","","","","",""
"Solomon Islands","2","78","","","0","","","","","0","0","0","0","0","0","35","24","191","0","0","0","61","","","32","0","10","2","51","196","616","72","27","766","0","0","0","3","0","0","0","0","2","14","12","1","0","",""
"Somalia","","","0","0","114","","","","","1001","3784","3028","665","823","","1347","","","","","","","","24","792","","","","","","","","","906","348","197","39","62","439","668","","","","","","","","",""
"South Africa","789","557","104","557","955","102","40","103","230","116","","181","","4","","","","","","8","5","24","8","34","39","23","14","","","","","","","","","","","","","","","","","","","","","",""
"South Sudan","0","77","","","","0","","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","215","57","242","3075","3665","4633","4892","","","2342","3439","3088","739","393","563","556","378","295","","512","345","","921","417","315","1134","3577","3741","5021","6229","11518","8365","10075","33217","14506","26958","55846","60564","35967","36164","50463","","","","","","","",""
"Sri Lanka","0","0","1","5","12","0","54","107","38","67","61","23","2","31","9","0","0","0","45","82","16","52","194","112","135","229","33","64","5","18","6","25","271","61","25","31","157","536","274","244","296","501","542","803","703","1078","1040","1341","525"
"Sudan","","","73","34","","12","","","141","119","109","132","209","6","34","57","39","90","192","232","213","645","80","51","169","418","133","1496","127","264","271","312","566","521","327","1115","20010","10314","1365","862","43905","41811","28631","98931","107979","82265","46605","37135","36767"
"Suriname","33","0","4","1","","","0","0","13","3","1","0","0","1","0","0","0","0","0","2","0","5","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","","3","",""
"Sweden","13","11","269","782","739","805","679","603","703","237","289","177","266","281","459","689","795","1360","1371","664","1350","979","2705","","","2490","8473","10655","13187","11542","9782","11432","10697","10969","12777","6747","5746","10839","4743","9778","4787","2256","5221","4105","8612","6494","1190","2172","3196"
"Switzerland","","","","","3950","8833","8276","6970","9349","10094","","4700","5900","3700","","","","","","","","6000","","11000","13000","13000","11500","20000","26000","5000","5000","","","","","","","","","","","","","","","","","",""
"Syrian Arab Republic","343","197","224","302","101","0","20","29","","35","4","90","70","19","59","140","212","","268","309","476","240","124","183","313","925","934","961","212","51","109","103","39","69","30","166","255","286","214","485","188","260","430","642","467","351","1088","906","1077"
"Turkiye","8","6","22","60","207","85","22","322","68","33","18","242","48","11","17","63","57","272","389","255","193","182","510","222","429","694","672","347","442","692","712","289","454","411","207","279","1048","2678","3145","5706","5063","2661","1520","3094","2267","1739","2440","3036","2851"
"Tajikistan","74","0","13","112","0","36","6","","6","2","5","56","12","6","7","46","22","22","74","23","53","24","13","80","66","284","86","192","662","1094","1115","581","935","","","","","","","","","","","","","","","",""
"Thailand","10","","90","99","79","55","84","51","14","24","14","12","6","25","16","23","72","23","21","24","15","72","93","43","101","110","","117","150","395","414","295","487","1230","1663","1467","1855","2533","4060","4846","3448","2944","4820","5093","2574","3150","1980","3281","2399"
"Timor-Leste","0","0","5","7","0","1","6","5","0","0","0","4","0","0","0","0","26","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","","","3","55","27","","11","23","38","30","32","34","53","72","156","27","","","88","71","177","628","115","241","491","14","112","60","134","191","","362","431","576","1132","2149","1408","2440","3687","2628","4253","5314","3901","4238","7499","5521","5196","9304","2261"
"Tonga","","","","","0","0","0","","","0","4","0","0","5","0","0","2","9","0","0","2","1","0","0","0","0","0","0","","0","0","0","3","1","0","0","1","2","4","50","526","0","2","147","210","0","0","0","5"
"Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","5","5","4","4","9","7","11","12","15","9","22","0","3","9","10","47","23","21","18","30","27"
"Tunisia","5","2","11","125","143","14","7","4","145","88","0","0","4","8","12","6","8","6","1","2","1","0","1","1","2","5","3","5","3","30","53","8","68","10","115","123","280","482","","","748","2103","4106","","1613","","","",""
"Turkmenistan","0","0","0","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","49","8","11","7","13","49","82","31","108","173","209","189","260","","","","","","","","","","","","","","","",""
"Tuvalu","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","1","1","1","2","0","0","0",""
"Uganda","","382","","","","","","","","","","","","","","","","0","","","","","","0","0","","","","","","","","913","9740","858","","","","","6064","1376","4196","2122","1008","4198","24668","3663","10069","1450"
"Ukraine","32","91","1041","2314","2214","2480","3132","2426","","","2286","2937","1067","","1025","2198","2459","1518","2241","778","411","2210","2243","1179","1763","2266","1220","1205","3374","6939","3363","3861","4189","","","","","","","","","","","","","","","",""
"United Arab Emirates","0","40","24","12","29","","","","18","","61","","79","","51","","","34","18","24","18","7","37","19","28","16","19","29","43","23","32","69","96","58","73","90","157","49","122","74","239","170","228","227","89","66","297","70",""
"United Kingdom of Great Britain and Northern Ireland","79","54","1226","4613","3423","5097","7085","5207","4046","6090","11980","1243","518","846","1028","1163","478","358","169","521","1054","1049","866","","0","3669","2724","2399","4837","4718","2750","6282","16605","12305","5473","16791","39939","24244","6419","21589","70928","21461","22924","33200","70509","18729","4392","9946","18264"
"United Republic of Tanzania","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","33","1","0","","","","","","","","","","45","243","9236","630","784","2541","2135","839","2016","2125","2604","2788","1991","1505","364","1698","",""
"United States of America","2115","6126","18617","","15609","18975","17972","20679","32971","28639","48277","18719","27550","0","13213","10454","15632","25616","25827","11647","9771","7580","7867","7288","7405","6564","7796","5137","4617","6586","4083","2719","4570","4157","3450","2823","4195","3589","2276","2463","1895","1248","1730","1623","2063","2177","1010","1738","2402"
"Uruguay","6","44","22","69","187","293","371","777","0","323","598","639","36","9","128","26","15","0","0","1","5","6","0","3","1","12","17","69","11","17","42","42","161","40","25","384","1095","503","88","133","761","445","192","230","1125","1426","75","37","561"
"Uzbekistan","3","2","39","106","0","102","103","0","69","42","62","36","33","35","31","106","115","126","35","40","78","57","77","54","32","197","197","266","357","525","1502","902","713","","","","","","","","","","","","","","","",""
"Vanuatu","1","0","0","0","22","","","","","","","0","0","0","0","0","0","11","","","6","","36","6","","51","6","0","0","161","161","0","3","39","66","37","138","1881","238","29","45","27","231","40","848","159","25","40",""
"Venezuela (Bolivarian Republic of)","","0","1","217","144","21","2","0","1","6","8","3","0","0","0","","1183","836","715","408","372","474","555","502","609","973","443","510","808","556","507","1389","1389","634","465","915","3088","4109","1939","3667","4034","4325","3247","1817","4445","11473","9591","9948","9985"
"Viet Nam","20","44","158","1013","700","555","267","309","90","54","98","105","81","122","280","183","144","194","328","716","662","1242","1426","903","1182","1565","1537","2444","3477","2507","4428","4669","4095","11281","21672","30498","43981","44011","49575","85023","59840","75187","96577","112861","76310","113779","50623","39025","94031"
"Yemen","","5208","0","","","","","","","2529","4699","2280","2534","2500","1229","2760","3476","1294","2200","","","","","","","","","184","25","","1556","","","32336","6358","5005","11205","17506","22581","28527","27702","15081","15332","13082","6337","7476","6924","8579","18"
"Zambia","","","","","0","0","0","0","","0","0","0","0","681","162","34","120","185","180","391","595","953","0","1051","","0","","","","","","","200","146","139","172","1134","1303","3896","8105","29958","23191","21232","26082","24432","29484","21128","30174","52727"
"Zimbabwe","15","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","8","30","0","36","20","34","142","211","","595","491","728","839","2631","1961","2154","1765","1511","2594","2629","6290","","","","","",""
